ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,Weight_g,Dried,DriedMethod,RootPicked,RootSize_mm,Archived_g,Weight_g_14C,Label_14C,Measured_%_C,Measured_%_N,F14C,al_pyr_mg_g,fe_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,Plot_1_Horizons,Plot_1_HorizonLength,Plot_2_Horizon,Plot_2_HorizonLength,Plot_3_Horizon,Plot_3_HorizonLength,Plot_4_Horizon,Plot_4_HorizonLength,Plot_5_Horizon,Plot_5_HorizonLength,Plot_6_Horizon,Plot_6_HorizonLength,Notes,Delta14C,mean_BD_g_cm3,sd_BD_g_cm3,median_BD_g_cm3,mad_BD_g_cm3
HBB_073,HubbardBearBrook,W6,Summer,Low,1998,7,LT162,Oa/A,48.5,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,2.406,3.539,2.522,5.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_074,HubbardBearBrook,W6,Summer,Low,1998,7,LT172,Oa/A,36.7,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,1.657,2.386,1.73,3.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For pyro: samples could also be HBB_077; based on values more likely to be HBB_074,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_075,HubbardBearBrook,W6,Summer,Low,1998,7,LT174,Oa/A,33,Yes,DegreeC60_48h,Yes,all,NA,0.5432,#075,22.24,1.06,1.0405,1.1,1.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not sure if truly ""low"" location",34.475781239948546,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_076,HubbardBearBrook,W6,Summer,Low,1998,7,LT168,Mineral_0_10,66.9,Yes,DegreeC60_48h,Yes,<2,53.64,0.5188,#076,2.67,0.14,0.9802,1.801,5.917,2.772,13.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.47509776895962,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_077,HubbardBearBrook,W6,Summer,Low,1998,7,LT174,Mineral_0_10,39.4,Yes,DegreeC60_48h,Yes,<2,26.63,0.4995,#077,5.14,0.26,0.9939,2.666,12.186,3.496,15.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For pyro: samples could also be HBB_074; based on values more likely to be HBB_077,-11.854417131778039,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_079,HubbardBearBrook,W6,Summer,Low,1998,7,LT162,Mineral_0_10,61.1,Yes,DegreeC60_48h,Yes,<2,48.05,0.4709,#079,5.68,0.26,0.9447,14.307,8.586,17.03,12.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.76956219377283,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_080,HubbardBearBrook,W6,Summer,Low,1998,7,LT163,Mineral_0_10,85.3,Yes,DegreeC60_48h,Yes,<2,70.81,0.4716,#080,2.56,0.11,0.9989,0.659,0.869,1.267,3.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.88336580433957,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_081,HubbardBearBrook,W6,Summer,Low,2000,7,LT172,Oi/Oe,15,Yes,DegreeC60_48h,Yes,all,3.94,0.4694,#081,42.63,2.33,1.1769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.80300507347357,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_082,HubbardBearBrook,W6,Summer,Low,2000,7,LT172,Oa/A,17,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,4.941,4.949,5.2,5.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_083,HubbardBearBrook,W6,Summer,Low,2000,7,LT172,Mineral_0_10,51,Yes,DegreeC60_48h,Yes,<2,31.08,0.4513,#083,1.6,0.08,0.8601,1.881,1.417,3.331,5.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-145.0866134219606,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_084,HubbardBearBrook,W6,Summer,Low,2000,7,LT174,Oi/Oe,9.4,Yes,DegreeC60_48h,Yes,all,0,0.4553,#084,38.8,1.88,1.1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand,176.26380848325996,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_085,HubbardBearBrook,W6,Summer,Low,2000,7,LT174,Oa/A,18.5,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,7.155,4.23,7.652,5.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_086,HubbardBearBrook,W6,Summer,Low,2000,7,LT174,Mineral_0_10,43.3,Yes,DegreeC60_48h,Yes,<2,26.18,NA,NA,5.17,0.28,NA,4.102,6.831,5.069,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_087,HubbardBearBrook,W6,Summer,Low,2000,7,LT162,Oi/Oe,13.6,Yes,DegreeC60_48h,Yes,all,3.02,NA,NA,40.77,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_088,HubbardBearBrook,W6,Summer,Low,2000,7,LT162,Oa/A,26.6,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,8.37,0.48,NA,1.98,3.49,2.516,7.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_089,HubbardBearBrook,W6,Summer,Low,2000,7,LT162,Mineral_0_10,27.9,Yes,DegreeC60_48h,Yes,<2,10.94,NA,NA,5.85,0.29,NA,6.721,5.385,7.179,7.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_090,HubbardBearBrook,W6,Summer,Low,2000,7,LT163,Oi/Oe,19.4,Yes,DegreeC60_48h,Yes,all,7.58,NA,NA,43.02,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_091,HubbardBearBrook,W6,Summer,Low,2000,7,LT163,Oa/A,21.4,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,0.974,1.529,1.149,3.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_092,HubbardBearBrook,W6,Summer,Low,2000,7,LT163,Mineral_0_10,31.3,Yes,DegreeC60_48h,Yes,<2,15.9,NA,NA,6.31,0.29,NA,1.616,2.997,2.266,6.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_093,HubbardBearBrook,W6,Summer,Low,2000,7,LT168,Oi/Oe,12.2,Yes,DegreeC60_48h,Yes,all,2.7,NA,NA,37.62,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_094,HubbardBearBrook,W6,Summer,Low,2000,7,LT168,Mineral_0_10,44.2,Yes,DegreeC60_48h,Yes,<2,24.67,NA,NA,3.31,0.15,NA,1.008,2.27,1.748,5.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_095,HubbardBearBrook,W6,Summer,Low,2002,7,LT168,Oi/Oe,11.1,Yes,DegreeC60_48h,Yes,all,0,NA,NA,42.69,1.74,NA,NA,NA,NA,NA,Oi/Oe,6,Oi/Oe,3.5,Oi/Oe,5,NA,NA,NA,NA,NA,NA,"Grinded sample before containers were cleaned with count-free and sand; container opend during grinding, only transferred material that was inside the grinding container; used 'non-clean room' grinding balls",NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_096,HubbardBearBrook,W6,Summer,Low,2002,7,LT168,Mineral_0_10,54.7,Yes,DegreeC60_48h,Yes,<2,34.39,NA,NA,3.64,0.21,NA,1.216,4.479,1.969,7.874,E,5,E,7,B,12,NA,NA,NA,NA,NA,NA,Oa/A: 4 / 2.5 / 1,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_097,HubbardBearBrook,W6,Summer,Low,2002,7,LT172,Oi/Oe,14.7,Yes,DegreeC60_48h,Yes,all,3.84,NA,NA,31.87,1.69,NA,NA,NA,NA,NA,Oi/Oe,6.5,Oi/Oe,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_098,HubbardBearBrook,W6,Summer,Low,2002,7,LT172,Oa/A,21.1,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,1.875,3.16,2.41,5.033,Oa,6.5,Oa,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_099,HubbardBearBrook,W6,Summer,Low,2002,7,LT172,Mineral_0_10,40.4,Yes,DegreeC60_48h,Yes,<2,23.13,NA,NA,4.32,0.23,NA,3.691,10.221,4.801,14.103,B,2,E/B,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_100,HubbardBearBrook,W6,Summer,Low,2002,7,LT163,Oi/Oe,10.7,Yes,DegreeC60_48h,Yes,all,0,0.477,#074,40.73,1.82,1.1979,NA,NA,NA,NA,Oi/Oe,4.5,Oi/Oe,4.5,NA,NA,NA,NA,NA,NA,NA,NA,put woody material from HBB_115 in HBB_100 root vial; weight errounous; grinded sample before containers were cleaned with count-free and sand; used 'non-clean room' grinding balls,190.3883325402067,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_101,HubbardBearBrook,W6,Summer,Low,2002,7,LT163,Oa/A,18.1,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,33.8,1.36,NA,1.474,1.237,1.514,2.258,Oa,6.5,Oa,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_102,HubbardBearBrook,W6,Summer,Low,2002,7,LT163,Mineral_0_10,14.9,Yes,DegreeC60_48h,Yes,<2,2.67,NA,NA,4.14,0.16,NA,0.51,0.42,1.166,4.491,E,5,E,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_103,HubbardBearBrook,W6,Summer,Low,2002,7,LT162,Oi/Oe,13.8,Yes,DegreeC60_48h,Yes,all,3.21,0.4725,#036,35.56,1.73,1.1693,NA,NA,NA,NA,Oi/Oe,3,Oi/Oe,3,NA,NA,NA,NA,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand,161.96767446303005,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_104,HubbardBearBrook,W6,Summer,Low,2002,7,LT162,Oa/A,13.7,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,1.101,1.701,1.294,3.487,A,5.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_105,HubbardBearBrook,W6,Summer,Low,2002,7,LT162,Mineral_0_10,61.3,Yes,DegreeC60_48h,Yes,<2,40.22,NA,NA,6.42,0.31,NA,5.334,6.547,6.004,11.302,B,10,B,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_106,HubbardBearBrook,W6,Summer,Low,2002,7,LT174,Oi/Oe,10.6,Yes,DegreeC60_48h,Yes,all,0,0.4735,#034,43.02,2.04,1.1615,NA,NA,NA,NA,Oi/Oe,8.5,Oi/Oe,7.5,NA,NA,NA,NA,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand; used 'non-clean room' grinding balls,154.21658589652742,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_107,HubbardBearBrook,W6,Summer,Low,2002,7,LT174,Oa/A,13.4,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,37.35,1.49,NA,0.978,0.644,0.992,1.535,Oa,8.5,Oa,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_108,HubbardBearBrook,W6,Summer,Low,2002,7,LT174,Mineral_0_10,75.5,Yes,DegreeC60_48h,Yes,<2,56.89,NA,NA,6.27,0.31,NA,0.871,1.377,1.168,3.971,E,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_109,HubbardBearBrook,W6,Summer,Low,2004,7,LT163,Oi/Oe,12.6,Yes,DegreeC60_48h,Yes,all,2.91,0.4515,#025,48.14,1.76,1.1401,NA,NA,NA,NA,NA,5,NA,1,NA,1,NA,6,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand,132.67670584833314,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_110,HubbardBearBrook,W6,Summer,Low,2004,7,LT163,Oa/A,13.7,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,23.71,0.88,NA,1.362,2.425,1.484,3.603,NA,1,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_111,HubbardBearBrook,W6,Summer,Low,2004,7,LT163,Mineral_0_10,31.7,Yes,DegreeC60_48h,Yes,<2,15.33,NA,NA,3.59,0.17,NA,0.989,1.878,1.663,5.466,NA,0,NA,5,NA,2,NA,0,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_112,HubbardBearBrook,W6,Summer,Low,2004,7,LT162,Oi/Oe,17.2,Yes,DegreeC60_48h,Yes,all,7.04,0.4872,#072,41.67,1.75,1.142,NA,NA,NA,NA,NA,0,NA,6,NA,1,NA,1,NA,NA,NA,NA,Duplicate sample found in archive (not included),134.56433477659547,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_113,HubbardBearBrook,W6,Summer,Low,2004,7,LT162,Oa/A,27.1,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,13.71,0.72,NA,3.825,4.89,4.304,6.096,NA,3,NA,6,NA,8,NA,4,NA,NA,NA,NA,Duplicate sample found in archive (not included),NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_114,HubbardBearBrook,W6,Summer,Low,2004,7,LT162,Mineral_0_10,41.9,Yes,DegreeC60_48h,Yes,<2,23.18,NA,NA,6.26,0.29,NA,4.961,4.137,5.988,8.395,NA,4,NA,0,NA,4,NA,1,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_115,HubbardBearBrook,W6,Summer,Low,2004,7,LT168,Oi/Oe,12.6,Yes,DegreeC60_48h,Yes,all,2.15,0.5081,#073,40.67,2.14,1.1635,NA,NA,NA,NA,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,put woody material from HBB_115 in HBB_100 root vial; weight errounous; grinded sample before containers were cleaned with count-free and sand,155.9243463332478,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_116,HubbardBearBrook,W6,Summer,Low,2004,7,LT168,Oa/A,18.8,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,12.73,0.6,NA,1.756,5.932,2.195,8.421,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_117,HubbardBearBrook,W6,Summer,Low,2004,7,LT168,Mineral_0_10,53.5,Yes,DegreeC60_48h,Yes,<2,32.31,NA,NA,4.09,0.21,NA,5.005,9.489,5.933,13.135,NA,8,NA,8,NA,7,NA,NA,NA,NA,NA,NA,Duplicate sample found in archive (not included),NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_118,HubbardBearBrook,W6,Summer,Low,2004,7,LT172,Oi/Oe,18.2,Yes,DegreeC60_48h,Yes,all,7.61,0.4636,#035,45.57,2.43,1.1784,NA,NA,NA,NA,Oi/Oe,5,Oi/Oe,5.5,Oi/Oe,2.5,NA,NA,NA,NA,NA,NA,NA,170.72733108646253,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_119,HubbardBearBrook,W6,Summer,Low,2004,7,LT172,Oa/A,26.4,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,25.97,1.46,NA,2.991,3.486,3.136,4.402,Oa,3,Oa,5.5,Oa,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_120,HubbardBearBrook,W6,Summer,Low,2004,7,LT172,Mineral_0_10,40.7,Yes,DegreeC60_48h,Yes,<2,24.31,NA,NA,4.3,0.23,NA,1.615,2.547,2.495,7.393,E,1.5,NA,0,E,5,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_121,HubbardBearBrook,W6,Summer,Low,2004,7,LT174,Oi/Oe,14.4,Yes,DegreeC60_48h,Yes,all,3.64,0.4618,#082,45.26,2.1,1.1601,NA,NA,NA,NA,Oi/Oe,4,Oi/Oe,3,Oi/Oe,4,Oi/Oe,4,Oi/Oe,2,NA,NA,NA,152.54648404056792,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_122,HubbardBearBrook,W6,Summer,Low,2004,7,LT174,Oa/A,28.3,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,32.9,1.41,NA,1.94,1.565,2.022,2.43,Oa,4,Oa,6,Oa,2,Oa,5,Oa,4,NA,NA,Duplicate sample found in archive (not included),NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_123,HubbardBearBrook,W6,Summer,Low,2004,7,LT174,Mineral_0_10,28.9,Yes,DegreeC60_48h,Yes,<2,10.92,NA,NA,6.12,0.29,NA,2.357,8.37,2.984,11.031,NA,0,E,0.5,E,1,NA,0,E/B,4,NA,NA,Did not clean sieving pan before sieving sample,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_124,HubbardBearBrook,W6,Summer,Low,2006,5,LT163,Oi/Oe,7.1,Yes,DegreeC60_48h,Yes,all,0,0.0025,#011,45.89,1.86,1.1493,NA,NA,NA,NA,Oi/Oe,12,Oi/Oe,9,Oi/Oe,9,Oi/Oe,8,Oi/Oe,2,NA,NA,"grinded sample before containers were cleaned with count-free and sand; Remnant  from old batch, not finely ground",141.54058607465348,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_125,HubbardBearBrook,W6,Summer,Low,2006,5,LT163,Oa/A,12.6,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,32.03,1.29,NA,0.976,1.294,1.089,2.836,Oa,2,Oa/A,4,Oa/A,3,Oa,4,Oa/A,2,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_126,HubbardBearBrook,W6,Summer,Low,2006,5,LT163,Mineral_0_10,50.5,Yes,DegreeC60_48h,Yes,<2,30.15,NA,NA,4.96,0.23,NA,0.876,1.827,1.449,5.328,NA,0,NA,0,NA,0,NA,0,E/B,10,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_127,HubbardBearBrook,W6,Summer,Low,2006,5,LT162,Oi/Oe,15.9,Yes,DegreeC60_48h,Yes,all,5.34,0.5017,#085,41.19,1.24,1.0517,NA,NA,NA,NA,Oi/Oe,4,Oi/Oe,12,Oi/Oe,6,Oi/Oe,2,Oi/Oe,3,NA,NA,NA,44.59952525425304,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_128,HubbardBearBrook,W6,Summer,Low,2006,5,LT162,Oa/A,18.9,Yes,DegreeC60_48h,Yes,all,NA,0.4611,#055,38.23,1.62,1.0756,1.513,2.86,1.53,3.906,Oa/A,7,Oa/A,5,Oa,4,Oa/A,9,Oa/A,5,NA,NA,NA,68.33816617236322,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_129,HubbardBearBrook,W6,Summer,Low,2006,5,LT168,Oi/Oe,8.6,Yes,DegreeC60_48h,Yes,all,0,0.4191,#015,36.42,1.76,1.1279,NA,NA,NA,NA,Oi/Oe,1,Oi/Oe,3,Oi/Oe,2,Oi/Oe,4,Oi/Oe,4,NA,NA,grinded sample before containers were cleaned with count-free and sand,120.28506659149186,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_130,HubbardBearBrook,W6,Summer,Low,2006,5,LT168,Mineral_0_10,42,Yes,DegreeC60_48h,Yes,<2,26.65,0.4732,#045,6.58,0.32,0.9593,1.566,2.691,2.264,4.913,B,10,B,10,B,10,NA,0,NA,0,NA,NA,Oa/A: 4 / 3 / trace / 3 / trace,-47.17664298145385,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_131,HubbardBearBrook,W6,Summer,Low,2006,5,LT172,Oa/A,17.5,Yes,DegreeC60_48h,Yes,all,NA,0.4885,#037,11.06,0.63,1.1064,1.232,4.067,1.489,4.371,Oa,7,Oa,11,Oa,9,Oa,2,Oa,2,NA,NA,Oi/Oe: 7 / 5 / 4 / 3 / 3,98.9302222509325,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_132,HubbardBearBrook,W6,Summer,Low,2006,5,LT172,Mineral_0_10,40.6,Yes,DegreeC60_48h,Yes,<2,22.56,0.4953,#038,3.6,0.22,1.0188,2.068,7.672,2.961,10.111,NA,0,NA,0,E,1,B,4,B,8,NA,NA,NA,11.921647170326954,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_133,HubbardBearBrook,W6,Summer,Low,2006,5,LT174,Oi/Oe,8.4,Yes,DegreeC60_48h,Yes,all,0,0.3583,#054,29.05,1.59,1.1217,NA,NA,NA,NA,Oi/Oe,4,Oi/Oe,2,Oi/Oe,6,NA,NA,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand,114.12692543281877,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_134,HubbardBearBrook,W6,Summer,Low,2006,5,LT174,Oa/A,36.2,Yes,DegreeC60_48h,Yes,all,NA,NA,NA,NA,NA,NA,9.503,4.153,9.648,5.337,Oa,4,A,2,Oa,5,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_135,HubbardBearBrook,W6,Summer,Low,2006,5,LT174,Mineral_0_10,21.6,Yes,DegreeC60_48h,Yes,<2,7.61,0.5282,#039,9.76,0.47,0.9651,4.493,11.826,5.356,13.781,NA,0,B,7,E,2,NA,NA,NA,NA,NA,NA,That was the sample that was sieved before HBB_123 was sieved without cleaning the sieving pan,-41.415801252372766,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_136,HubbardBearBrook,W6,Summer,Low,2006,5,LT162,Mineral_0_10,59.82,Yes,DegreeC60_48h,Yes,<2,39.09,0.5327,#042,4,0.15,0.9494,1.539,5.086,2.15,7.642,E,3,NA,0,NA,0,NA,0,E,6,NA,NA,NA,-57.00980386385102,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_137,HubbardBearBrook,W6,Summer,Low,1998,NA,all fine roots,Oi/Oe,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_138,HubbardBearBrook,W6,Summer,Low,1998,NA,all fine roots,Oa/A,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_139,HubbardBearBrook,W6,Summer,Low,1998,NA,all fine roots,Mineral_0_10,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_140,HubbardBearBrook,W6,Summer,Low,2000,NA,all fine roots,Oi/Oe,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_141,HubbardBearBrook,W6,Summer,Low,2000,NA,all fine roots,Oa/A,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_142,HubbardBearBrook,W6,Summer,Low,2000,NA,all fine roots,Mineral_0_10,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_143,HubbardBearBrook,W6,Summer,Low,2002,NA,all fine roots,Oi/Oe,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_144,HubbardBearBrook,W6,Summer,Low,2002,NA,all fine roots,Oa/A,NA,Yes,DegreeC60_48h,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
